,excess_portfolio_return
1998-10-29,0.0085548438196556
1998-10-30,0.0029755539421696
1998-11-02,0.0022421518758309
1998-11-03,-0.0030260354492637
1998-11-04,0.006384313555860776
1998-11-05,0.0129576591060045
1998-11-06,-0.0007087367830869
1998-11-09,-0.0061445184771909
1998-11-10,-0.0031231148407608
1998-11-12,0.0007203365687158999
1998-11-13,0.0019978490525348735
1998-11-16,0.0009712850873078
1998-11-17,0.0020216475228295
1998-11-18,0.003638244171286231
1998-11-19,0.0006139157762810157
1998-11-20,0.0035123496738650797
1998-11-23,0.009959383029172899
1998-11-24,-0.0038023998023857
1998-11-25,0.0027438997526308996
1998-11-27,-0.00013138474466408567
1998-11-30,-0.014133652648564698
1998-12-01,0.0029878960014759
1998-12-02,-0.0042877237602182
1998-12-03,-0.007310584655538155
1998-12-04,0.009992133477673254
1998-12-07,0.0025401610977468
1998-12-08,-0.0047676995020757
1998-12-09,0.0007169114854500001
1998-12-10,-0.00615300896184377
1998-12-11,-0.005407453319303002
1998-12-14,-0.0049361259510407995
1998-12-15,0.0075791360893
1998-12-16,0.005767555315796961
1998-12-17,0.0055502196928455
1998-12-18,-0.0007309340959018756
1998-12-21,0.0030839191451494997
1998-12-22,-0.0012991048010119
1998-12-23,0.005479775822868832
1998-12-24,-0.0007828502739982001
1998-12-28,-8.456043473420004e-05
1998-12-29,0.008209663125292425
1998-12-30,0.00014319630582049998
1998-12-31,-0.003493231793351658
1999-01-04,-0.0034284530747609
1999-01-05,0.008066957012629241
1999-01-06,0.014139906553826
1999-01-07,0.004245841027511701
1999-01-08,0.0038890679407478255
1999-01-11,-0.0010438849647608
1999-01-12,-0.01433510440862
1999-01-13,-0.0050901146093217
1999-01-14,-0.0120840833391953
1999-01-15,0.0111416683015911
1999-01-19,-0.0006684570734622
1999-01-20,0.0015056938542621998
1999-01-21,-0.0058717951119615
1999-01-22,-0.0060594670038485
1999-01-25,0.0059213520486594996
1999-01-26,0.0005623364574567748
1999-01-27,-0.009840289386773931
1999-01-28,0.0118688622784522
1999-01-29,0.0067145904912811
